spp;Anadenanthera colubrina;Ceiba speciosa;Citharexylum myrianthum;Croton floribundus;Inga edulis;Inga laurina;Joannesia princeps;Moquiniastrum polymorphum;Pityrocarpa gonoacantha;Pityrocarpa paniculata;Plathymenia reticulata;Pleroma granulosum;Pseudobombax grandiflorum;Tapirira guianensis
ML11;1;0;0;0;0;0;0;0;8;2;0;0;0;0
ML12;1;0;0;0;0;3;0;0;4;0;0;0;9;1
ML13;6;0;1;0;0;0;6;0;2;1;0;0;5;0
ML14;0;0;0;0;0;3;3;0;8;0;0;0;0;0
ML15;0;2;2;3;0;5;1;0;3;0;0;0;1;0
ML21;0;0;0;0;1;0;1;0;0;2;0;1;0;0
ML22;1;0;1;0;5;0;2;1;0;0;0;1;1;1
ML23;0;0;1;1;2;0;1;0;1;0;0;0;0;0
ML24;0;1;0;1;2;0;1;0;0;0;2;0;1;0
ML25;6;0;1;0;1;0;0;1;0;0;0;0;0;0
