spp;dap_media
Aegiphila_integrifolia;11.2859653
Alchornea_glandulosa;13.93656051
Anadenanthera_colubrina;22.0713758
Andira_anthelmia;6.22611465
Annona_crassiflora;7.595541401
Apuleia_leiocarpa;5.063694268
Astronium_graveolens;17.61146497
Baccharis_dracunculifolia;2.123142251
Bauhinia_forficata;7.738853503
Bixa_orellana;6.580775912
Cassia_ferruginea;17.03821656
Cecropia_pachystachya;8.203113942
Cedrela_fissilis;7.420382166
Ceiba_speciosa;15.07493443
Cenostigma_pluviosum;11.45081387
Centrolobium_microchaete;3.598726115
Centrolobium_tomentosum;7.526539278
Cestrum_laevigatum;29.74267516
Chloroleucon_tortum;3.121019108
Cinnamomum_verum;21.77770701
Citharexylum_myrianthum;9.11066879
Copaifera_langsdorffii;17.4522293
Cordia_superba;8.126326964
Croton_floribundus;41.97335456
Croton_urucurana;11.42250531
Cupania_vernalis;3.98089172
Cybistax_antisyphilitica;12.65923567
Dalbergia_nigra;10.49893843
Enterolobium_contortisiliquum;10.08819206
Erythrina_verna;3.662420382
Eugenia_uniflora;4.799818016
Gallesia_integrifolia;6.378112334
Genipa_americana;6.620665251
Guarea_guidonia;7.328379335
Guazuma_ulmifolia;9.478865084
Handroanthus_albus;4.631988677
Handroanthus_heptaphyllus;5.984076433
Himatanthus_bracteatus;10.44585987
Hydrochorea_pedicellaris;16.0111465
Hymenaea_courbaril;6.798771611
Inga_edulis;29.09564756
Inga_laurina;29.74324556
Inga_vera;21.28753412
Jacaratia_spinosa;14.14012739
Joannesia_princeps;26.62203452
Lecythis_pisonis;5.700636943
Libidibia_ferrea;12.78397028
Luehea_divaricata;15.31449045
Machaerium_hirtum;9.394904459
Machaerium_nyctitans;11.10934183
Marlimorimia_contorta;14.39490446
Mespilodaphne_pulchella;16.42802548
Miconia_albicans;2.421519563
Miconia_sellowiana;1.469517743
Mimosa_bimucronata;37.48805732
Mimosa_schomburgkii;19.24203822
Moquiniastrum_polymorphum;14.75608334
Myrcia_splendens;4.766454352
Myrcia_tomentosa;4.108280255
Myrsine_coriacea;8.35552982
Pachira_glabra;4.737261146
Paubrasilia_echinata;3.503184713
Peltophorum_dubium;8.082347589
Pilocarpus_microphyllus;2.675159236
Piptocarpha_axillaris;10.67214214
Pityrocarpa_gonoacantha;36.20865493
Pityrocarpa_paniculata;21.14802548
Plathymenia_reticulata;20.38144904
Pleroma_granulosum;21.00583864
Pleroma_sellowianum;1.910828025
Plinia_cauliflora;3.98089172
Pseudobombax_grandiflorum;12.64883227
Psidium_cattleianum;5.310509554
Psidium_guajava;6.771858715
Psidium_sartorianum;14.84076433
Pterocarpus_rohrii;17.26318471
Pterogyne_nitens;6.011146497
Pterygota_brasiliensis;7.882165605
Samanea_saman;10.11146497
Sapindus_saponaria;5.98089172
Schinus_molle;12.05095541
Schinus_terebinthifolia;15.20386469
Schizolobium_parahyba;15.01840057
Senegalia_polyphylla;20.98726115
Senna_macranthera;45.50007962
Senna_multijuga;22.17622081
Solanum_lycocarpum;15.30785563
Solanum_pseudoquina;5.042462845
Spondias_mombin;17.05237084
Stryphnodendron_adstringens;15.68346982
Tabernaemontana_hystrix;6.96656051
Tapirira_guianensis;34.04617834
Tecoma_stans;14.06847134
Trema_micranthum;17.38499646
Triplaris_americana;6.159906135
Vernonanthura_polyanthes;3.407643312
Zanthoxylum_rhoifolium;5.520169851
Zeyheria_tuberculosa;7.300342969
