spp;WD;SLA;LDMC
Aegiphila_integrifolia;0.367790844;192.9992182;0.246947596
Anadenanthera_colubrina;0.526918168;49.53739466;0.441371923
Cecropia_pachystachya;0.353680277;97.17298147;0.255586712
Ceiba_speciosa;0.302369459;153.8143299;0.309808214
Cenostigma_pluviosum;0.443282168;152.5389285;0.395216457
Citharexylum_myrianthum;0.388251212;102.5430782;0.319791288
Croton_floribundus;0.417646628;144.1647063;0.348736667
Dalbergia_nigra;0.557891592;208.0963843;0.42622801
Inga_edulis;0.441677844;107.4183;0.400259995
Inga_laurina;0.654733316;93.30043387;0.412131336
Jacaratia_spinosa;0.252;82.78165054;0.285230307
Joannesia_princeps;0.307948238;143.8581683;0.278824975
Moquiniastrum_polymorphum;0.46125;155.6425292;0.28359581
Pityrocarpa_gonoacantha;0.493039847;70.66148784;0.476274589
Pityrocarpa_paniculata;0.510373919;111.008456;0.425789194
Plathymenia_reticulata;0.44493726;121.0670696;0.3901962
Pleroma_granulosum;0.432770245;109.5801012;0.347914466
Pseudobombax_grandiflorum;0.2424;118.7809252;0.350829594
Schinus_terebinthifolia;0.533667289;125.5237969;0.35633397
Schizolobium_parahyba;0.217430848;81.74061361;0.513783332
Senna_multijuga;0.453704294;159.9949912;0.379870787
Tapirira_guianensis;0.4436;110.0293376;0.378791758
Trema_micranthum;0.262;149.7670836;0.241033333
