specie;prod_media
Aegiphila_integrifolia;2751.401503
Alchornea_glandulosa;3139.590296
Anadenanthera_colubrina;6838.640385
Andira_anthelmia;2205.391394
Annona_crassiflora;1728.131991
Apuleia_leiocarpa;2185.130665
Astronium_graveolens;3217.479968
Baccharis_dracunculifolia;1881.842228
Bauhinia_forficata;2613.250353
Bixa_orellana;1267.891685
Cassia_ferruginea;2266.271993
Cecropia_pachystachya;2245.308755
Cedrela_fissilis;1539.761152
Ceiba_speciosa;3820.635918
Cenostigma_pluviosum;2681.743849
Centrolobium_microchaete;1327.704249
Centrolobium_tomentosum;2080.068144
Cestrum_laevigatum;6212.552127
Chloroleucon_tortum;1813.109753
Cinnamomum_verum;3457.079829
Citharexylum_myrianthum;2241.590303
Copaifera_langsdorffii;3484.078886
Cordia_superba;1917.549934
Croton_floribundus;12940.15236
Croton_urucurana;3496.350076
Cupania_vernalis;1841.512997
Cybistax_antisyphilitica;1873.914471
Dalbergia_nigra;2445.639297
Enterolobium_contortisiliquum;2170.513303
Erythrina_verna;1834.697305
Eugenia_uniflora;1995.22738
Gallesia_integrifolia;1771.233676
Genipa_americana;1854.449578
Guarea_guidonia;2476.815613
Guazuma_ulmifolia;2407.676024
Handroanthus_albus;2035.350471
Handroanthus_heptaphyllus;1814.033174
Himatanthus_bracteatus;2543.074478
Hydrochorea_pedicellaris;3058.746185
Hymenaea_courbaril;1663.286551
Inga_edulis;8252.383649
Inga_laurina;6604.590075
Inga_vera;4507.856711
Jacaratia_spinosa;3580.643363
Joannesia_princeps;7074.633954
Lecythis_pisonis;1880.349545
Libidibia_ferrea;2906.241258
Luehea_divaricata;2716.025118
Machaerium_hirtum;1355.678082
Machaerium_nyctitans;2316.243941
Marlimorimia_contorta;2904.875209
Mespilodaphne_pulchella;3384.716001
Miconia_albicans;1847.44163
Miconia_sellowiana;1799.487702
Mimosa_bimucronata;11736.96754
Mimosa_schomburgkii;4266.45983
Moquiniastrum_polymorphum;3735.270308
Myrcia_splendens;1848.420157
Myrcia_tomentosa;1848.303959
Myrsine_coriacea;2338.400339
Pachira_glabra;1351.391032
Paubrasilia_echinata;2267.90153
Peltophorum_dubium;1664.874295
Pilocarpus_microphyllus;1800.997341
Piptocarpha_axillaris;2595.910278
Pityrocarpa_gonoacantha;11456.84813
Pityrocarpa_paniculata;4775.781143
Plathymenia_reticulata;6727.997863
Pleroma_granulosum;5181.936101
Pleroma_sellowianum;1804.807654
Plinia_cauliflora;1140.545702
Pseudobombax_grandiflorum;2489.008634
Psidium_cattleianum;2136.144945
Psidium_guajava;1667.603331
Psidium_sartorianum;3338.878002
Pterocarpus_rohrii;4698.320043
Pterogyne_nitens;1903.760941
Pterygota_brasiliensis;2071.737854
Samanea_saman;1548.513808
Sapindus_saponaria;1366.18467
Schinus_molle;2127.217132
Schinus_terebinthifolia;3057.88019
Schizolobium_parahyba;2822.11553
Senegalia_polyphylla;3916.095071
Senna_macranthera;18019.98799
Senna_multijuga;5537.667511
Solanum_lycocarpum;3946.801274
Solanum_pseudoquina;2358.710869
Spondias_mombin;4703.173048
Stryphnodendron_adstringens;2912.728057
Tabernaemontana_hystrix;1958.809464
Tapirira_guianensis;8325.152061
Tecoma_stans;2596.705104
Trema_micranthum;3892.938394
Triplaris_americana;1251.379079
Vernonanthura_polyanthes;1703.670478
Zanthoxylum_rhoifolium;1675.463638
Zeyheria_tuberculosa;1887.800022
